时间,商品名称,库存变化,单笔销量
2026-07-22 17:01:32,[07.29] 오메가엑스 OMEGA,初始库存: 9991,8
2026-07-24 04:33:44,[07.29] 오메가엑스 OMEGA,9991 -> 9981,10
2026-07-24 16:41:26,[07.29] 오메가엑스 OMEGA,9981 -> 9977,4
2026-07-24 20:12:26,[07.29] 오메가엑스 OMEGA,9977 -> 9970,7
2026-07-24 20:58:13,[07.29] 오메가엑스 OMEGA,9970 -> 9963,7
2026-07-24 21:26:00,[07.29] 오메가엑스 OMEGA,9963 -> 9951,12
2026-07-24 21:53:45,[07.29] 오메가엑스 OMEGA,9951 -> 9946,5
2026-07-24 22:33:59,[07.29] 오메가엑스 OMEGA,9946 -> 9938,8
2026-07-24 22:42:50,[07.29] 오메가엑스 OMEGA,9938 -> 9937,1
2026-07-24 22:47:15,[07.29] 오메가엑스 OMEGA,9937 -> 9932,5
2026-07-24 22:52:44,[07.29] 오메가엑스 OMEGA,9932 -> 9925,7
2026-07-24 22:56:26,[07.29] 오메가엑스 OMEGA,9925 -> 9918,7
2026-07-24 22:59:05,[07.29] 오메가엑스 OMEGA,9918 -> 9915,3
