时间,商品名称,库存变化,单笔销量
2026-07-23 11:29:48,[07.29] 오메가엑스 OMEGA,初始库存: 99957,42
2026-07-23 13:22:17,[07.29] 오메가엑스 OMEGA,99957 -> 99942,15
2026-07-23 18:00:03,[07.29] 오메가엑스 OMEGA,99942 -> 99927,15
2026-07-23 22:13:13,[07.29] 오메가엑스 OMEGA,99927 -> 99918,9
2026-07-24 07:29:13,[07.29] 오메가엑스 OMEGA,99918 -> 99915,3
2026-07-24 11:26:33,[07.29] 오메가엑스 OMEGA,99915 -> 99908,7
2026-07-24 14:23:17,[07.29] 오메가엑스 OMEGA,99908 -> 99893,15
2026-07-24 15:35:28,[07.29] 오메가엑스 OMEGA,99893 -> 99878,15
2026-07-24 16:47:07,[07.29] 오메가엑스 OMEGA,99878 -> 99863,15
2026-07-24 18:05:04,[07.29] 오메가엑스 OMEGA,99863 -> 99852,11
2026-07-24 19:36:15,[07.29] 오메가엑스 OMEGA,99852 -> 99845,7
2026-07-24 20:01:58,[07.29] 오메가엑스 OMEGA,99845 -> 99838,7
2026-07-24 20:16:36,[07.29] 오메가엑스 OMEGA,99838 -> 99828,10
2026-07-24 21:17:58,[07.29] 오메가엑스 OMEGA,99828 -> 99821,7
2026-07-24 21:38:38,[07.29] 오메가엑스 OMEGA,99821 -> 99817,4
2026-07-24 22:16:22,[07.29] 오메가엑스 OMEGA,99817 -> 99808,9
2026-07-24 22:19:35,[07.29] 오메가엑스 OMEGA,99808 -> 99785,23
2026-07-24 22:36:52,[07.29] 오메가엑스 OMEGA,99785 -> 99777,8
2026-07-24 22:42:51,[07.29] 오메가엑스 OMEGA,99777 -> 99775,2
2026-07-24 22:57:10,[07.29] 오메가엑스 OMEGA,99775 -> 99766,9
2026-07-24 22:57:31,[07.29] 오메가엑스 OMEGA,99766 -> 99757,9
2026-07-24 22:57:41,[07.29] 오메가엑스 OMEGA,99757 -> 99748,9
2026-07-24 22:58:45,[07.29] 오메가엑스 OMEGA,99748 -> 99742,6
